Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex
40,51,0,1,b,1351,1,21,F
40,52,0,0,n,4494,1,21,F
40,53,100,1,b,3108,1,21,F
40,54,50,0,n,1367,1,21,F
40,55,150,1,n,6816,0,21,F
40,56,50,1,b,2273,1,21,F
40,57,150,0,n,2385,1,21,F
40,58,100,0,n,2056,1,21,F
40,59,150,1,b,2741,1,21,F
40,60,100,1,b,3555,1,21,F
40,61,0,1,b,1213,1,21,F
40,62,0,0,n,1193,1,21,F
40,63,50,0,n,2308,1,21,F
40,64,50,1,b,2319,1,21,F
40,65,150,0,n,5089,1,21,F
40,66,0,1,b,1983,1,21,F
40,67,150,1,b,3050,1,21,F
40,68,0,0,n,1251,1,21,F
40,69,50,0,n,3149,1,21,F
40,70,50,1,b,1792,1,21,F
40,71,100,1,b,2465,1,21,F
40,74,100,0,n,3259,1,21,F
40,75,150,1,b,3634,1,21,F
40,76,0,0,n,2987,1,21,F
40,77,0,1,b,2618,1,21,F
40,78,50,1,n,3796,0,21,F
40,79,50,0,n,3749,1,21,F
40,80,150,0,n,3219,1,21,F
40,81,50,0,n,3735,1,21,F
40,82,0,1,b,1034,1,21,F
40,83,150,0,n,5456,1,21,F
40,84,50,1,b,5269,1,21,F
40,85,100,1,b,2335,1,21,F
40,86,0,0,n,2038,1,21,F
40,87,150,1,n,3111,0,21,F
40,88,100,0,n,1800,1,21,F
40,89,100,0,n,2281,1,21,F
40,90,50,1,b,1685,1,21,F
40,91,0,1,b,989,1,21,F
40,92,150,1,n,6498,0,21,F
40,93,150,0,n,3983,1,21,F
40,94,50,0,n,4361,1,21,F
40,95,100,1,b,1650,1,21,F
40,96,0,0,n,1970,1,21,F
24,1,0,0,n,2443,1,25,F
24,2,150,0,n,5888,1,25,F
24,3,150,1,b,3670,1,25,F
24,4,100,1,n,4012,0,25,F
24,5,50,1,b,2902,1,25,F
24,6,50,0,n,3120,1,25,F
24,7,100,0,n,5431,1,25,F
24,8,0,1,b,1226,1,25,F
24,9,150,0,n,5480,1,25,F
24,10,150,1,b,4745,1,25,F
24,11,50,0,n,4690,1,25,F
24,12,0,0,n,2772,1,25,F
24,13,0,1,b,1265,1,25,F
24,14,100,0,n,2392,1,25,F
24,15,100,1,b,4716,1,25,F
24,16,50,1,b,3418,1,25,F
24,17,100,0,n,2654,1,25,F
24,18,150,1,b,2112,1,25,F
24,19,50,0,n,2702,1,25,F
24,20,50,1,b,1637,1,25,F
24,21,100,0,n,2109,1,25,F
24,22,0,0,b,884,0,25,F
24,23,0,1,b,1795,1,25,F
24,24,150,0,n,4023,1,25,F
24,25,150,0,n,5980,1,25,F
24,26,50,0,n,2026,1,25,F
24,27,50,1,b,3076,1,25,F
24,28,100,1,b,3157,1,25,F
24,29,0,1,b,1617,1,25,F
24,30,0,0,n,2367,1,25,F
24,33,50,1,n,2687,0,25,F
24,34,100,1,b,4855,1,25,F
24,35,150,1,n,2719,0,25,F
24,36,0,0,n,1253,1,25,F
24,37,100,1,b,2855,1,25,F
24,38,150,0,n,4301,1,25,F
24,39,0,1,b,1565,1,25,F
24,40,50,0,n,1128,1,25,F
24,41,150,1,b,4087,1,25,F
24,42,0,0,n,1191,1,25,F
24,43,100,1,b,2115,1,25,F
24,44,150,0,b,2101,0,25,F
24,45,50,0,n,1218,1,25,F
24,46,100,0,b,1599,0,25,F
24,47,0,1,b,1632,1,25,F
24,48,50,1,b,2747,1,25,F
24,49,100,0,n,2427,1,25,F
24,50,150,0,n,2595,1,25,F
24,51,0,1,b,2486,1,25,F
24,52,0,0,n,2602,1,25,F
24,53,100,1,b,3139,1,25,F
24,54,50,0,n,1513,1,25,F
24,55,150,1,b,4106,1,25,F
24,56,50,1,b,1815,1,25,F
24,57,150,0,n,2761,1,25,F
24,58,100,0,n,2637,1,25,F
24,59,150,1,b,1784,1,25,F
24,60,100,1,b,2227,1,25,F
24,61,0,1,b,1338,1,25,F
24,62,0,0,n,1145,1,25,F
24,63,50,0,n,1854,1,25,F
24,64,50,1,b,1862,1,25,F
24,65,150,0,b,2316,0,25,F
24,66,0,1,b,1268,1,25,F
24,67,150,1,b,2322,1,25,F
24,68,0,0,n,1377,1,25,F
24,69,50,0,n,1748,1,25,F
24,70,50,1,b,1542,1,25,F
24,71,100,1,b,1460,1,25,F
24,72,100,0,n,2511,1,25,F
24,73,100,1,b,1409,1,25,F
24,74,100,0,n,2863,1,25,F
24,75,150,1,b,2104,1,25,F
24,76,0,0,n,2637,1,25,F
24,77,0,1,b,1727,1,25,F
24,78,50,1,n,1292,0,25,F
24,79,50,0,n,1260,1,25,F
24,80,150,0,b,1411,0,25,F
24,81,50,0,b,2582,0,25,F
24,82,0,1,b,1033,1,25,F
24,83,150,0,n,3028,1,25,F
24,84,50,1,n,2307,0,25,F
24,85,100,1,b,2191,1,25,F
24,86,0,0,n,2083,1,25,F
24,87,150,1,b,2745,1,25,F
24,88,100,0,n,2784,1,25,F
24,89,100,0,n,1781,1,25,F
24,90,50,1,b,1850,1,25,F
24,91,0,1,b,1140,1,25,F
24,92,150,1,b,1949,1,25,F
24,93,150,0,n,2432,1,25,F
24,94,50,0,n,1777,1,25,F
24,95,100,1,b,1287,1,25,F
24,96,0,0,n,3197,1,25,F
11,1,0,0,n,2924,1,21,M
11,2,150,0,n,3631,1,21,M
11,3,150,1,b,2993,1,21,M
11,4,100,1,b,6246,1,21,M
11,5,50,1,b,2941,1,21,M
11,6,50,0,n,2402,1,21,M
11,7,100,0,n,3120,1,21,M
11,8,0,1,b,1363,1,21,M
11,9,150,0,n,4430,1,21,M
11,10,150,1,b,5892,1,21,M
11,11,50,0,n,4427,1,21,M
11,12,0,0,n,1822,1,21,M
11,13,0,1,b,1334,1,21,M
11,14,100,0,n,3820,1,21,M
11,15,100,1,b,2778,1,21,M
11,16,50,1,b,4176,1,21,M
11,17,100,0,n,5035,1,21,M
11,18,150,1,b,5399,1,21,M
11,19,50,0,n,2930,1,21,M
11,20,50,1,b,1937,1,21,M
11,21,100,0,n,3236,1,21,M
11,22,0,0,n,1575,1,21,M
11,23,0,1,b,1176,1,21,M
11,24,150,0,n,5368,1,21,M
11,25,150,0,n,2647,1,21,M
11,26,50,0,n,5275,1,21,M
11,27,50,1,b,2859,1,21,M
11,28,100,1,b,4091,1,21,M
11,29,0,1,b,1345,1,21,M
11,30,0,0,n,2533,1,21,M
11,31,150,1,n,3325,0,21,M
11,32,100,0,n,5628,1,21,M
11,33,50,1,b,7356,1,21,M
11,34,100,1,b,3642,1,21,M
11,35,150,1,n,4797,0,21,M
11,36,0,0,n,2030,1,21,M
11,37,100,1,b,4417,1,21,M
11,38,150,0,n,3433,1,21,M
11,39,0,1,b,1342,1,21,M
11,40,50,0,n,1270,1,21,M
11,41,150,1,b,6527,1,21,M
11,42,0,0,n,1325,1,21,M
11,43,100,1,b,5396,1,21,M
11,44,150,0,n,6729,1,21,M
11,45,50,0,n,1616,1,21,M
11,46,100,0,n,4217,1,21,M
11,47,0,1,b,1609,1,21,M
11,48,50,1,b,2639,1,21,M
11,49,100,0,n,3049,1,21,M
11,50,150,0,n,3681,1,21,M
11,51,0,1,b,2711,1,21,M
11,52,0,0,n,1740,1,21,M
11,53,100,1,b,3372,1,21,M
11,54,50,0,n,963,1,21,M
11,55,150,1,b,2054,1,21,M
11,56,50,1,b,2125,1,21,M
11,57,150,0,n,1760,1,21,M
11,58,100,0,n,1972,1,21,M
11,59,150,1,b,5673,1,21,M
11,61,0,1,b,1703,1,21,M
11,62,0,0,n,1295,1,21,M
11,63,50,0,n,1086,1,21,M
11,64,50,1,b,2183,1,21,M
11,65,150,0,n,2208,1,21,M
11,66,0,1,b,1347,1,21,M
11,67,150,1,b,5904,1,21,M
